"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 18:47:27 GMT 2024","Mon Jan 08 18:47:28 GMT 2024","906","tests","test_products","TestProducts","","","test_test_products_search","Test to verify the products search functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:17 GMT 2024","Mon Jan 08 18:47:21 GMT 2024","3476","tests","test_login","TestLogin","","","test_logout","Test to verify the user logout after successful login functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:15 GMT 2024","Mon Jan 08 18:47:15 GMT 2024","904","tests","test_login","TestLogin","","","test_invalid_login","Test to verify the user login with invalid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:07 GMT 2024","Mon Jan 08 18:47:13 GMT 2024","5166","tests","test_login","TestLogin","","","test_valid_login","Test to verify the user login with valid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:35 GMT 2024","Mon Jan 08 18:47:38 GMT 2024","2847","tests","test_register","TestRegister","","","test_register_existing_email","Test to verify the new user registration with existing email functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:03 GMT 2024","Mon Jan 08 18:47:05 GMT 2024","2240","tests","test_contact_form","TestContactForm","","","test_contact_form","Test to verify the contact us form functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:39 GMT 2024","Mon Jan 08 18:47:41 GMT 2024","2122","tests","test_subscription","TestContactForm","","","test_subscription","Test to verify the subscription functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:30 GMT 2024","Mon Jan 08 18:47:33 GMT 2024","3577","tests","test_register","TestRegister","","","test_valid_registration","Test to verify the new user registration with valid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:23 GMT 2024","Mon Jan 08 18:47:23 GMT 2024","561","tests","test_page_navigation","TestPageNavigation","","","test_test_cases_page","Test to verify the test cases page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Mon Jan 08 18:47:25 GMT 2024","Mon Jan 08 18:47:26 GMT 2024","801","tests","test_products","TestProducts","","","test_test_products_and_details","Test to verify all products and product detail page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
